submission #,first name,last name,email,country,affiliation,Web page,person #,corresponding?
1,Stephanie,Henry,kdavis@example.com,Guam,Color produce page country occur,http://www.peters.biz/,2,no
1,Anne,Cox,jasonharris@example.org,Antarctica (the territory South of 60 deg S),Way hold why old,http://green-roach.com/,3,no
1,Renee,Reid,zachary90@example.net,Macao,Friend suffer,https://www.decker-allen.com/,4,no
1,Roger,Baldwin,crystal08@example.org,Dominica,Past population cultural doctor,https://jones.net/,5,yes
1,Susan,Campbell,roberthoffman@example.com,Dominican Republic,Local peace upon why,https://www.martinez.net/,6,no
2,Stephanie,Henry,kdavis@example.com,Guam,Color produce page country occur,http://www.peters.biz/,2,no
2,Charles,Mclaughlin,kevinbush@example.org,Saint Barthelemy,Specific several on,https://www.haas.com/,7,no
2,Anthony,Howard,kimberlyjenkins@example.org,Syrian Arab Republic,Join spring determine enough,https://www.becker-lang.org/,8,no
2,Jodi,Garcia,joshua20@example.org,American Samoa,Write skill pick project,https://www.graham.net/,9,yes
3,Rachel,Peters,jay93@example.net,Costa Rica,Help street,http://www.barrett.org/,10,no
3,Chelsea,Walker,ashleyramirez@example.net,Nauru,Well project,http://jones.com/,11,no
3,Troy,Oneal,xgibson@example.org,Israel,Simple pattern southern,http://www.khan.com/,12,yes
4,Renee,Reid,zachary90@example.net,Macao,Friend suffer,https://www.decker-allen.com/,4,no
4,Robert,Lester,qsmith@example.org,Zambia,Create among,http://www.jones.com/,13,yes
5,Lori,Mosley,deleonfaith@example.com,Azerbaijan,Continue energy better whatever,http://www.curry.com/,14,no
5,Renee,Reid,zachary90@example.net,Macao,Friend suffer,https://www.decker-allen.com/,4,no
5,Sandra,Stone,clairepalmer@example.org,Sri Lanka,Meeting skill loss break,https://mendoza.info/,15,yes
5,Chelsea,Walker,ashleyramirez@example.net,Nauru,Well project,http://jones.com/,11,no
6,Paula,Stanley,vmorales@example.org,Andorra,You truth factor civil water,http://valdez.com/,16,no
6,Erin,Hardin,psmith@example.net,Norfolk Island,Sing decade this discussion campaign,http://robinson.com/,17,no
6,Troy,Turner,sarah70@example.com,El Salvador,Side themselves,https://daniel.com/,18,yes
7,Philip,Cannon,schaefereric@example.org,Sri Lanka,South PM,https://carpenter-kelley.net/,19,no
7,Donna,Weiss,amanda59@example.com,United Kingdom,By election must large,http://www.carrillo.com/,20,no
7,Wendy,Welch,lcoleman@example.org,Indonesia,Week military business might,http://www.daniel-wallace.com/,21,yes
7,Matthew,Dunn,donnasoto@example.net,France,And school major,https://www.anderson.net/,22,no
8,Randy,Davis,fpierce@example.org,United Kingdom,Service upon,https://www.yu.com/,23,no
8,Caleb,Watson,westmaria@example.org,Australia,By worry real,https://hernandez.org/,24,no
8,Rick,Vincent,judithgriffith@example.com,Ukraine,Participant help,https://robinson.com/,25,yes
9,Ellen,Cook,sara43@example.org,Bulgaria,Medical check company develop,http://www.hogan-patel.com/,26,yes
9,Angel,Kane,jocelynweeks@example.net,Cape Verde,Life bit scientist,http://www.hall.com/,27,no
10,Brandon,Zamora,megansanchez@example.com,Sudan,Interest difficult floor create,https://www.larson-welch.net/,28,no
10,Brandi,Lewis,edwardssarah@example.com,Jordan,These now price,https://www.miller-chandler.com/,29,no
10,Stephanie,Henry,kdavis@example.com,Guam,Color produce page country occur,http://www.peters.biz/,2,no
10,Brittany,Barnes,elizabeth12@example.net,Romania,Man among road process soldier,http://garrison.info/,30,no
10,Karen,Williams,natashabowers@example.org,Serbia,Conference recent back same beat,https://www.olson.net/,31,yes
11,Anthony,Ball,marissabooth@example.net,India,Political look fund,http://patterson.com/,32,no
11,Maria,Price,gcooley@example.net,Honduras,Hot soldier create,https://www.cohen.com/,33,yes
11,Sean,Walters,millscynthia@example.org,Botswana,Can recent,https://www.rubio.com/,34,no
