member #,member name,submission #,bid
2,Christopher Smith,165,yes
2,Christopher Smith,174,yes
2,Christopher Smith,195,maybe
2,Christopher Smith,282,maybe
2,Christopher Smith,330,yes
2,Christopher Smith,456,yes
2,Christopher Smith,603,yes
2,Christopher Smith,606,maybe
2,Christopher Smith,622,yes
2,Christopher Smith,667,yes
2,Christopher Smith,730,maybe
2,Christopher Smith,739,maybe
2,Christopher Smith,767,maybe
2,Christopher Smith,788,maybe
2,Christopher Smith,881,maybe
2,Christopher Smith,918,yes
2,Christopher Smith,958,maybe
2,Christopher Smith,975,yes
3,Michael Carter,11,yes
3,Michael Carter,88,yes
3,Michael Carter,137,yes
3,Michael Carter,179,maybe
3,Michael Carter,234,maybe
3,Michael Carter,236,yes
3,Michael Carter,300,yes
3,Michael Carter,352,maybe
3,Michael Carter,357,maybe
3,Michael Carter,371,yes
3,Michael Carter,397,maybe
3,Michael Carter,454,maybe
3,Michael Carter,500,maybe
3,Michael Carter,519,maybe
3,Michael Carter,575,yes
3,Michael Carter,581,yes
3,Michael Carter,629,yes
3,Michael Carter,688,maybe
3,Michael Carter,799,yes
3,Michael Carter,803,maybe
3,Michael Carter,832,maybe
3,Michael Carter,847,maybe
3,Michael Carter,890,yes
3,Michael Carter,916,yes
4,Rebecca Lewis,80,yes
4,Rebecca Lewis,201,maybe
4,Rebecca Lewis,219,yes
4,Rebecca Lewis,267,maybe
4,Rebecca Lewis,315,maybe
4,Rebecca Lewis,368,yes
4,Rebecca Lewis,432,maybe
4,Rebecca Lewis,509,maybe
4,Rebecca Lewis,519,maybe
4,Rebecca Lewis,587,maybe
4,Rebecca Lewis,648,maybe
4,Rebecca Lewis,698,maybe
4,Rebecca Lewis,700,maybe
4,Rebecca Lewis,707,yes
4,Rebecca Lewis,715,maybe
4,Rebecca Lewis,748,yes
4,Rebecca Lewis,792,maybe
4,Rebecca Lewis,848,yes
5,Andrew Hobbs,22,maybe
5,Andrew Hobbs,31,maybe
5,Andrew Hobbs,104,maybe
5,Andrew Hobbs,181,yes
5,Andrew Hobbs,280,yes
5,Andrew Hobbs,330,maybe
5,Andrew Hobbs,457,yes
5,Andrew Hobbs,507,yes
5,Andrew Hobbs,533,maybe
5,Andrew Hobbs,614,maybe
5,Andrew Hobbs,628,yes
5,Andrew Hobbs,675,yes
5,Andrew Hobbs,685,yes
5,Andrew Hobbs,745,maybe
5,Andrew Hobbs,808,maybe
5,Andrew Hobbs,875,maybe
5,Andrew Hobbs,879,maybe
5,Andrew Hobbs,887,maybe
5,Andrew Hobbs,898,maybe
5,Andrew Hobbs,914,yes
5,Andrew Hobbs,934,yes
2742,Robert Williamson,76,yes
2742,Robert Williamson,83,maybe
2742,Robert Williamson,139,maybe
2742,Robert Williamson,149,maybe
2742,Robert Williamson,296,maybe
2742,Robert Williamson,336,maybe
2742,Robert Williamson,389,yes
2742,Robert Williamson,396,maybe
2742,Robert Williamson,461,yes
2742,Robert Williamson,507,yes
2742,Robert Williamson,543,yes
2742,Robert Williamson,566,yes
2742,Robert Williamson,613,yes
2742,Robert Williamson,639,yes
2742,Robert Williamson,664,yes
2742,Robert Williamson,677,yes
2742,Robert Williamson,776,yes
2742,Robert Williamson,846,yes
2742,Robert Williamson,887,yes
2742,Robert Williamson,945,maybe
2742,Robert Williamson,947,yes
2742,Robert Williamson,955,maybe
7,Jessica White,9,maybe
7,Jessica White,27,yes
7,Jessica White,57,maybe
7,Jessica White,66,maybe
7,Jessica White,132,yes
7,Jessica White,167,yes
7,Jessica White,226,yes
7,Jessica White,263,maybe
7,Jessica White,268,yes
7,Jessica White,283,maybe
7,Jessica White,292,maybe
7,Jessica White,325,maybe
7,Jessica White,341,maybe
7,Jessica White,380,maybe
7,Jessica White,398,yes
7,Jessica White,411,maybe
7,Jessica White,413,yes
7,Jessica White,453,yes
7,Jessica White,504,maybe
7,Jessica White,611,yes
7,Jessica White,687,maybe
7,Jessica White,762,yes
7,Jessica White,854,maybe
7,Jessica White,911,maybe
7,Jessica White,929,yes
7,Jessica White,947,maybe
7,Jessica White,979,maybe
7,Jessica White,980,maybe
2317,Melissa Bishop,148,yes
2317,Melissa Bishop,218,yes
2317,Melissa Bishop,257,maybe
2317,Melissa Bishop,295,yes
2317,Melissa Bishop,342,maybe
2317,Melissa Bishop,377,yes
2317,Melissa Bishop,395,yes
2317,Melissa Bishop,453,yes
2317,Melissa Bishop,455,maybe
2317,Melissa Bishop,458,yes
2317,Melissa Bishop,478,maybe
2317,Melissa Bishop,499,maybe
2317,Melissa Bishop,536,maybe
2317,Melissa Bishop,581,maybe
2317,Melissa Bishop,659,maybe
2317,Melissa Bishop,673,maybe
2317,Melissa Bishop,683,maybe
9,Colton Stone,31,maybe
9,Colton Stone,201,yes
9,Colton Stone,206,yes
9,Colton Stone,221,maybe
9,Colton Stone,248,yes
9,Colton Stone,258,yes
9,Colton Stone,260,maybe
9,Colton Stone,375,maybe
9,Colton Stone,407,maybe
9,Colton Stone,435,maybe
9,Colton Stone,509,yes
9,Colton Stone,544,maybe
9,Colton Stone,550,maybe
9,Colton Stone,619,maybe
9,Colton Stone,620,maybe
9,Colton Stone,732,maybe
9,Colton Stone,738,maybe
9,Colton Stone,756,yes
9,Colton Stone,843,yes
