member #,member name,topic
1,William Duran,Cognitive Robotics
1,William Duran,Causal Learning
1,William Duran,Anomaly/Outlier Detection
1,William Duran,Causality
1,William Duran,Voting Theory
1,William Duran,Text Mining
1,William Duran,Human-Robot/Agent Interaction
1,William Duran,Databases
1,William Duran,Life Sciences
1,William Duran,Multimodal Learning
2,Christopher Smith,Question Answering
2,Christopher Smith,Privacy in Data Mining
2,Christopher Smith,Vision and Language
2,Christopher Smith,Language Grounding
2,Christopher Smith,Adversarial Attacks on NLP Systems
2,Christopher Smith,"AI in Law, Justice, Regulation, and Governance"
3,Michael Carter,Deep Learning Theory
3,Michael Carter,"Mining Visual, Multimedia, and Multimodal Data"
3,Michael Carter,"Constraints, Data Mining, and Machine Learning"
3,Michael Carter,Scalability of Machine Learning Systems
3,Michael Carter,Genetic Algorithms
3,Michael Carter,Relational Learning
3,Michael Carter,Activity and Plan Recognition
3,Michael Carter,Other Topics in Uncertainty in AI
3,Michael Carter,Arts and Creativity
4,Rebecca Lewis,Real-Time Systems
4,Rebecca Lewis,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
4,Rebecca Lewis,Behavioural Game Theory
4,Rebecca Lewis,Deep Neural Network Architectures
4,Rebecca Lewis,Partially Observable and Unobservable Domains
4,Rebecca Lewis,Vision and Language
4,Rebecca Lewis,Multimodal Learning
4,Rebecca Lewis,Automated Learning and Hyperparameter Tuning
4,Rebecca Lewis,Data Visualisation and Summarisation
5,Andrew Hobbs,Large Language Models
5,Andrew Hobbs,Adversarial Search
5,Andrew Hobbs,Reasoning about Knowledge and Beliefs
5,Andrew Hobbs,Distributed CSP and Optimisation
5,Andrew Hobbs,Unsupervised and Self-Supervised Learning
5,Andrew Hobbs,Classification and Regression
6,Robert Williamson,Other Topics in Machine Learning
6,Robert Williamson,Swarm Intelligence
6,Robert Williamson,Quantum Computing
6,Robert Williamson,Other Topics in Knowledge Representation and Reasoning
6,Robert Williamson,Human-Robot/Agent Interaction
6,Robert Williamson,Causality
7,Jessica White,Stochastic Optimisation
7,Jessica White,Global Constraints
7,Jessica White,Satisfiability
7,Jessica White,"Linguistic Theories, Cognitive Modelling, and Psycholinguistics"
7,Jessica White,Heuristic Search
7,Jessica White,Vision and Language
7,Jessica White,Privacy in Data Mining
8,Melissa Bishop,Constraint Learning and Acquisition
8,Melissa Bishop,Morality and Value-Based AI
8,Melissa Bishop,Question Answering
