name,total,yes,maybe,email
William Duran,0,0,0,ryan17@example.org
Joseph Smith,6,1,5,sean80@example.com
William Holland,7,4,3,johncarey@example.com
Joshua Finley,8,4,4,tonyaneal@example.com
Joshua Finley,8,4,4,tonyaneal@example.com
Mrs. Gail,9,6,3,williamcooper@example.com
Mary Gonzales,9,7,2,nrosales@example.com
Mrs. Gail,9,6,3,williamcooper@example.com
Ryan Acevedo,9,5,4,loganloretta@example.org
Samuel Russo,9,6,3,leslie41@example.org
Joseph Romero,9,5,4,bondjoshua@example.org
Robert Hall,10,3,7,ricejade@example.net
Patricia Schaefer,10,8,2,bbrown@example.net
Susan Miller,10,7,3,aprilbenson@example.net
Jaime Brown,10,5,5,reidmichael@example.org
Jennifer Roberts,10,6,4,johnsonmichael@example.org
Eric Gutierrez,10,6,4,xgonzales@example.com
Robert Cruz,10,5,5,butlerantonio@example.net
Gregory Parsons,10,6,4,hector61@example.org
Jenna Friedman,10,5,5,collinsjoshua@example.org
Eric Gutierrez,10,6,4,xgonzales@example.com
Michael Craig,11,7,4,melissawilkinson@example.net
James Ramirez,11,6,5,xbolton@example.com
Jessica Gomez,11,3,8,slewis@example.org
Kimberly Marshall,11,4,7,derekschneider@example.com
Joseph Frazier,11,4,7,kimberlyhiggins@example.net
Anthony Powell,11,4,7,john96@example.org
Samantha Villarreal,11,6,5,adamsshane@example.org
Luke Adams,11,4,7,smithgregory@example.net
Vanessa Herman,11,7,4,starkdawn@example.net
Mr. Joseph,11,6,5,smithdeborah@example.com
Karla Ochoa,11,7,4,margaretanderson@example.net
Paul Holmes,11,5,6,alicia61@example.net
Joshua Smith,11,7,4,morganlopez@example.org
Mr. Nicholas,11,7,4,curtis09@example.net
Amanda Ramirez,11,5,6,ricejudy@example.com
Micheal Gentry,11,4,7,leslie87@example.com
Julie Lopez,11,6,5,moralesanthony@example.com
Alexander Burton,11,5,6,alexandra88@example.org
Shane Green,11,6,5,phillipsroger@example.net
Angela Barker,11,7,4,lisa94@example.net
Todd Harmon,11,4,7,hansonoscar@example.net
Kendra Hernandez,11,6,5,powellreginald@example.net
William Gibson,12,8,4,robertwilson@example.net
Kristen Turner,12,6,6,kdawson@example.org
Miss Brenda,12,7,5,calebdominguez@example.net
Anthony Garcia,12,5,7,richardfoley@example.com
