name,total,yes,maybe,email
Todd Garcia,8,3,5,loribrown@example.com
Chelsea Adkins,9,4,5,dstout@example.com
Kristina Key,9,4,5,holly81@example.com
Chelsea Adkins,9,4,5,dstout@example.com
Vanessa Downs,10,4,6,bettyjackson@example.org
Nancy Wagner,10,5,5,deniserobinson@example.org
Donald Campos,10,5,5,bryan49@example.org
Mrs. Natasha,11,6,5,susanwebb@example.org
Michael Martinez,11,5,6,reneeevans@example.com
Raymond Meyer,11,3,8,roy92@example.net
Sarah Mason,11,2,9,wardcasey@example.org
Margaret Nolan,12,6,6,clarkkeith@example.com
Mr. Jesus,12,7,5,kimberly09@example.org
Aaron Wolf,12,4,8,jparsons@example.net
Megan Nolan,12,5,7,jyoung@example.net
Andrea Franklin,12,1,11,mosleyjohn@example.com
Sarah Craig,12,4,8,janetclark@example.com
Spencer Johnson,13,5,8,amanda08@example.com
Mary Cordova,13,7,6,hmartin@example.org
Amber Guzman,13,5,8,davidturner@example.net
Robert Harmon,13,8,5,cummingstom@example.net
Robert Moore,13,6,7,kaitlynperry@example.org
Nicole Allison,13,6,7,lindarobertson@example.org
Sarah Joseph,13,5,8,rhondadelgado@example.org
Nicholas Baker,13,6,7,kevinroberts@example.org
Lisa Nguyen,13,6,7,gonzalezbilly@example.net
Emily Christian,13,5,8,andrewwilson@example.com
Amanda Huffman,13,6,7,rodney48@example.org
Barbara Lewis,13,7,6,vwhite@example.org
Christopher Gonzalez,13,4,9,rileyconnor@example.com
Linda Chaney,13,6,7,sabrinadavidson@example.com
James Rowe,13,9,4,leroy59@example.org
Alexander Bass,13,7,6,henry38@example.net
Jeffrey Walsh,13,6,7,rbishop@example.org
Kim Stevenson,14,6,8,zamorajuan@example.net
Valerie Wright,14,8,6,calderonsusan@example.org
Carlos Guerra,14,5,9,lauriehernandez@example.org
Meagan Leach,14,7,7,brianlawrence@example.org
Tracy Smith,14,9,5,jenniferwilliams@example.net
Lisa Garza,14,6,8,ycordova@example.com
Nicole Douglas,14,7,7,greg23@example.org
Nicole Woods,14,9,5,frederickpearson@example.net
Heather Mccarty,14,5,9,hernandezrichard@example.net
Jeremy Byrd,14,8,6,steven22@example.com
Christopher Murphy,14,6,8,lowetammy@example.net
Wendy Welch,14,8,6,lcoleman@example.org
Dylan Murillo,14,4,10,alyssa78@example.com
Zachary Woods,14,8,6,thomas07@example.net
